REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,TIME_PERIOD,OBS_VALUE,UNIT_TYPE_ID,UNIT_TYPE_NAME
ETH,Ethiopia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
FJI,Fiji,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,3.72973474093552,RATIO,Ratio
FJI,Fiji,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,197463629.7,CUR,Currency
FIN,Finland,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.313813330634593,RATIO,Ratio
FIN,Finland,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
FRA,France,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.74285145124635,RATIO,Ratio
FRA,France,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
GAB,Gabon,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.94281932826951,RATIO,Ratio
GAB,Gabon,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,315981370.6,CUR,Currency
GMB,"Gambia, The",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.76054766561673,RATIO,Ratio
GMB,"Gambia, The",IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,26968236.57,CUR,Currency
GEO,Georgia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,11.8059595318578,RATIO,Ratio
GEO,Georgia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
DEU,Germany,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.10949675102677,RATIO,Ratio
DEU,Germany,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
GHA,Ghana,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,3.94047862857605,RATIO,Ratio
GHA,Ghana,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
GRC,Greece,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,3.07995155153552,RATIO,Ratio
GRC,Greece,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
GTM,Guatemala,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.90514048405601,RATIO,Ratio
GTM,Guatemala,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
GIN,Guinea,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.40912792942921,RATIO,Ratio
GIN,Guinea,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,239440410.9,CUR,Currency
GNB,Guinea-Bissau,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.14371212416204e-05,RATIO,Ratio
GNB,Guinea-Bissau,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,149.036,CUR,Currency
GUY,Guyana,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.30317117947527,RATIO,Ratio
GUY,Guyana,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,111451776.8,CUR,Currency
HTI,Haiti,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.410812678073606,RATIO,Ratio
HTI,Haiti,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,68890676.22,CUR,Currency
HND,Honduras,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.724529382926886,RATIO,Ratio
HND,Honduras,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,171866163.9,CUR,Currency
HUN,Hungary,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.86605596284813,RATIO,Ratio
HUN,Hungary,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ISL,Iceland,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.614098543702997,RATIO,Ratio
